카테고리	유전질환명	disease
골격계	연골무형성증	Achondroplasia
골격계	불완전 골형성증	Osteogenesis  imperfecta
골격계	골화석증	Osteopetrosis
골격계	유전성 다발성 골연골종증	Hereditary multiple osteochondromas
골격계	점상연골 이형성증	Rhizomelic chondrodysplasia punctata
골격계	선천성 척추뼈끝 형성이상	Spondylo-epiphyseal dysplasia congenita
골격계	다발성골단 이형성증	Multiple epiphyseal dysplasia
골격계	연골저형성증	Hypochondroplasia
골격계	가성연골무형성증	Pseudoachondroplasia
골격계	골간단연골형성이상, 슈미드형	Metaphyseal chondrodysplasia, Schmid type
골격계	드뷔쿠아 형성이상 1형	Desbuquois dysplasia 1
내분비계	선천성 부신 과형성증	Congenital adrenal  hyperplasia
내분비계	비타민D 저항성 구루병	Vitamin D resistant rickets
내분비계	저인산효소증	Hypophosphatasia
내분비계	가성 부갑상샘 기능저하증	Pseudohypoparathyroidism
내분비계	선천성부신 저형성증	Adrenal hypoplasia congenita
내분비계	다발성 내분비종양 증후군 2형, 갑상선수질암	Multiple endocrine neoplasm type 2
다기관	수적 이상 염색체이상질환	Numerical  chromosome abnormalities
다기관	병적염색체구조적이상 	Pathogenic/Likely pathogenic Structural  chromosome rearrangements
다기관	디 조지 증후군	Di George’s syndrome
다기관	고셰병	Gaucher’s disease
다기관	레쉬 니한 증후군	Lesch Nyhan syndrome
다기관	마르판 증후군	Marfan’s syndrome
다기관	오르니틴 트랜스카바밀레이즈 결핍	Ornithine transcarbamylase deficiency
다기관	테이삭스병	Tay-Sachs disease
다기관	윌슨병	Wilson’s disease
다기관	판코니 빈혈	Fanconi’s anemia
다기관	블룸 증후군	Bloom syndorme
다기관	부신백질 영양장애	Adrenoleukodystrophy
다기관	알포트 증후군	Alport syndrome
다기관	파브리-안더슨병	Fabry-Anderson disease
다기관	바르트 증후군	Barth syndrome
다기관	코핀-로리 증후군	Coffin-Lowry  syndrome
다기관	크루존 증후군	Crouzon syndrome
다기관	골츠 증후군	Goltz’s syndrome
다기관	헌터 증후군	Hunter’s syndrome
다기관	색소 실조증	Incontinentia pigmenti
다기관	로웨 증후군	Lowe syndrome
다기관	신경섬유종증	Neurofibromatosis
다기관	구안지 증후군, 입얼굴손가락 증후군	Orofaciodigital syndrome
다기관	피르브산 탈수소효소 결핍	Pyruvate dehydrogenase deficiency
다기관	산필립포 증후군	Sanfilippo disease
